class,name,number
/m/06_y0by,Environmental noise,58
/m/07s2xch,Groan,52
/t/dd00134,Car passing by,59
/m/05fw6t,Music for children,51
/m/07qw_06,"Wail, moan",48
/m/07r04,Truck,71
/m/09f96,Mosquito,51
/m/09ct_,Helicopter,55
/m/04s8yn,Crow,58
/m/07r81j2,Caterwaul,55
/m/07rv9rh,Clip-clop,55
/m/07qjznl,Tick-tock,60
/m/015lz1,Singing,475
/m/07qwdck,Ping,55
/m/03xq_f,Electronic organ,56
/m/04rzd,Mandolin,59
/m/0cj0r,Pink noise,51
/m/0glt670,Hip hop music,56
/m/07y_7,"Violin, fiddle",58
/m/016622,Tubular bells,57
/t/dd00036,Angry music,58
/m/0dgbq,Civil defense siren,51
/t/dd00128,"Outside, urban or manmade",236
/m/07r4wb8,Knock,52
/m/07qqyl4,Boom,56
/t/dd00067,Heavy engine (low frequency),58
/m/025rv6n,Fowl,183
/m/04zmvq,Train whistle,59
/m/0dv3j,Boiling,55
/m/07q0yl5,Snort,56
/m/0164x2,Music of Africa,51
/m/0h0rv,"Pigeon, dove",58
/m/0ltv,"Race car, auto racing",58
/g/122z_qxw,Firecracker,55
/m/018w8,Basketball bounce,55
/m/01jnbd,Echo,54
/m/0l156k,Whistle,54
/m/09b5t,"Chicken, rooster",69
/m/03gvt,Hammond organ,67
/m/07rwm0c,Clickety-clack,71
/m/0g293,Music of Latin America,56
/m/01b_21,Cough,50
/m/02p0sh1,Traditional music,53
/m/01glhc,Tapping (guitar technique),58
/m/01m2v,Computer keyboard,57
/m/02l6bg,"Propeller, airscrew",58
/m/06h7j,Run,50
/m/01j3sz,Laughter,97
/m/025td0t,Background music,56
/m/0326g,Flamenco,54
/m/07pkxdp,Lullaby,52
/m/0l14j_,Flute,56
/m/06d_3,Rail transport,181
/m/03q5_w,"Burping, eructation",51
/m/019jd,"Boat, Water vehicle",233
/t/dd00006,Synthetic singing,56
/m/01sm1g,Wood block,55
/m/0d31p,Vacuum cleaner,54
/m/0l14l2,Shofar,56
/m/02v2lh,New-age music,55
/m/09t49,Rustling leaves,58
/m/0k4j,Car,283
/m/0dbvp,Goose,66
/m/07rbp7_,Whip,59
/m/02yds9,Purr,57
/m/02mfyn,Car alarm,58
/m/068hy,"Domestic animals, pets",390
/m/07gxw,Techno,51
/m/07sbbz2,Rock and roll,57
/m/03_d0,Jazz,57
/m/0l14qv,Synthesizer,57
/m/07r5v4s,Drip,53
/m/0d8_n,Pizzicato,123
/m/01z47d,Busy signal,53
/m/07ptzwd,Pump (liquid),58
/m/02zsn,"Female speech, woman speaking",55
/t/dd00135,Children shouting,52
/m/081rb,Writing,59
/m/0hdsk,Chirp tone,59
/m/046dlr,Alarm clock,57
/m/0hsrw,"Sailboat, sailing ship",60
/m/013y1f,Organ,113
/m/07rjzl8,Slam,47
/m/0lyf6,Breathing,54
/m/02bk07,Chant,53
/m/07p_0gm,Throbbing,56
/m/01z5f,"Canidae, dogs, wolves",59
/m/025_jnm,Finger snapping,57
/m/07p6fty,Shout,54
/m/078jl,Snake,50
/m/0l15bq,Clapping,54
/t/dd00003,Male singing,55
/m/0_ksk,Power tool,73
/m/02pjr4,Blender,56
/m/012ndj,"Fire engine, fire truck (siren)",55
/m/0gy1t2s,Bicycle bell,49
/t/dd00031,Happy music,55
/m/04_sv,Motorcycle,59
/m/0ngt1,Thunder,61
/m/07qs1cx,Crack,56
/m/0fd3y,Ambient music,51
/m/07s34ls,Whir,57
/m/0btp2,"Traffic noise, roadway noise",58
/m/023pjk,"Cutlery, silverware",58
/t/dd00088,Gush,58
/m/07pyf11,Flap,58
/m/02lkt,Electronic music,103
/m/026fgl,Wind chime,55
/m/07qcx4z,Tearing,57
/m/03m9d0z,Wind,164
/t/dd00018,Oink,51
/m/0l14md,Percussion,251
/m/03l9g,Hammer,58
/m/02mscn,Christian music,62
/m/0l156b,Steelpan,57
/m/01qbl,Cymbal,60
/m/07phhsh,Rumble,53
/m/01hnzm,Ringtone,53
/m/0jbk,Animal,687
/m/0642b4,Cupboard open or close,58
/m/01b9nn,Reverberation,60
/m/07r_k2n,Yip,55
/m/01g90h,Stomach rumble,48
/m/01v1d8,Sampler,59
/m/07s8j8t,Roll,57
/m/024dl,Cash register,56
/m/0ggq0m,Classical music,58
/m/06bz3,Radio,57
/t/dd00034,Tender music,53
/m/01wy6,Clarinet,60
/m/01hsr_,Sneeze,42
/m/03w41f,Church bell,62
/m/02bm9n,"Ratchet, pawl",57
/m/01s0ps,Electric piano,57
/m/05w3f,Psychedelic rock,57
/m/05148p4,Keyboard (musical),134
/m/07szfh9,Cacophony,55
/m/01swy6,Yodeling,58
/m/026t6,Drum,179
/m/07q6cd_,Squeak,52
/m/01y3hg,"Smoke detector, smoke alarm",58
/m/07qlwh6,Squish,55
/m/012xff,Toothbrush,53
/m/0ytgt,"Child speech, kid speaking",124
/m/07qcpgn,Tap,49
/m/07st89h,Cluck,49
/t/dd00035,Exciting music,53
/m/0dwsp,"Marimba, xylophone",74
/m/0bm02,Bass drum,83
/m/07brj,Tambourine,56
/m/07pggtn,"Chirp, tweet",57
/m/06j64v,Middle Eastern music,53
/m/06ncr,Saxophone,59
/m/07qn4z3,Rattle,60
/m/020bb7,"Bird vocalization, bird call, bird song",124
/m/0j45pbj,Mallet percussion,57
/m/0dwt5,Vibraphone,55
/m/07rqsjt,"Whoosh, swoosh, swish",56
/m/0ch8v,"Livestock, farm animals, working animals",116
/m/03j1ly,Emergency vehicle,130
/m/07rc7d9,Bow-wow,57
/m/07s0dtb,Gasp,54
/m/01h3n,"Bee, wasp, etc.",57
/m/06rvn,Snare drum,89
/m/01rd7k,Turkey,61
/m/032n05,Whale vocalization,55
/m/07sq110,Belly laugh,51
/m/07qv_d5,Toot,57
/m/05kq4,Ocean,67
/m/07m2kt,Chorus effect,58
/m/07pjwq1,Buzz,49
/m/02cz_7,Beatboxing,53
/m/07pb8fc,Idling,59
/m/07c52,Television,51
/m/0jtg0,Sitar,55
/m/07pp_mv,Alarm,57
/m/0912c9,"Vehicle horn, car horn, honking",56
/m/01jwx6,Vibration,58
/m/07n_g,Tuning fork,59
/m/0dl9sf8,Throat clearing,49
/m/0gywn,Soul music,55
/t/dd00033,Sad music,49
/m/02_nn,Fart,49
/m/053hz1,Cheering,60
/m/04gy_2,Battle cry,53
/m/07pc8lb,Breaking,58
/m/07qrkrw,Meow,51
/m/03vt0,Insect,156
/m/03wvsk,Hair dryer,55
/m/01yg9g,Lawn mower,57
/m/07qfr4h,"Hubbub, speech noise, speech babble",55
/m/05r5c,Piano,80
/m/02rlv9,"Motorboat, speedboat",57
/m/0dxrf,Frying (food),56
/m/06hck5,Steam whistle,68
/m/07sx8x_,Squawk,56
/m/0l7xg,Gears,56
/t/dd00092,Wind noise (microphone),139
/m/08j51y,"Dental drill, dentist's drill",57
/m/01hgjl,Scratching (performance technique),57
/m/07q5rw0,"Neigh, whinny",54
/m/014yck,Aircraft engine,56
/m/0_1c,Artillery fire,56
/m/01kcd,Brass instrument,216
/m/07pl1bw,Splinter,55
/m/07rrlb6,"Splash, splatter",51
/m/034srq,"Waves, surf",63
/m/03mb9,House music,52
/m/0cfdd,Drum machine,59
/m/0192l,Bagpipes,56
/m/0m0jc,Electronica,54
/m/01jg02,"Heart sounds, heartbeat",63
/m/0c1dj,Sound effect,51
/m/02y_763,Sliding door,58
/m/04fgwm,Electric toothbrush,59
/m/0130jx,Sink (filling or washing),59
/m/07rjwbb,Hiss,88
/m/056ks2,"Rowboat, canoe, kayak",58
/m/04qvtq,Police car (siren),56
/m/0150b9,Change ringing (campanology),56
/m/01xq0k1,"Cattle, bovinae",58
/m/02p01q,Filing (rasp),58
/m/07rv4dm,Clang,51
/m/01h8n0,Conversation,51
/m/015jpf,Dial tone,57
/m/0dv5r,Camera,57
/m/07qyrcz,Plop,55
/m/05pd6,Orchestra,54
/t/dd00038,Rain on surface,53
/m/01z7dr,Video game music,58
/m/07r660_,Giggle,52
/m/07p9k1k,Sizzle,57
/t/dd00004,Female singing,56
/m/05tny_,Bark,58
/t/dd00136,Whimper (dog),55
/m/03k3r,Horse,69
/m/0j6m2,Stream,59
/m/03t3fj,Rimshot,83
/m/01lsmm,Scissors,55
/m/07r_80w,Hoot,58
/m/074ft,Song,72
/m/07qz6j3,Whimper,48
/m/07rwj3x,Whoop,56
/m/01jt3m,Toilet flush,50
/m/07pxg6y,Eruption,55
/m/07s72n,Dubstep,53
/m/07r4k75,Grunt,54
/t/dd00065,Light engine (high frequency),57
/m/03cczk,"Chewing, mastication",51
/m/0y4f8,Vocal music,56
/t/dd00126,"Inside, large room or hall",155
/m/07ptfmf,Stir,57
/m/07plct2,Crushing,54
/m/07mzm6,Wheeze,49
/m/032s66,"Gunshot, gunfire",162
/t/dd00125,"Inside, small room",683
/m/06q74,Ship,56
/m/0dl83,Arrow,56
/m/08p9q4,Sidetone,54
/m/01j4z9,Chainsaw,58
