class,name,number
/m/064t9,Pop music,78
/m/0939n_,Gargling,48
/t/dd00032,Funny music,51
/m/024dl,Cash register,57
/m/04gy_2,Battle cry,58
/m/07qsvvw,"Burst, pop",58
/m/04cvmfc,Roar,54
/m/0lyf6,Breathing,53
/m/0ggq0m,Classical music,60
/m/0342h,Guitar,289
/m/01m2v,Computer keyboard,53
/m/07k1x,Tools,98
/m/053hz1,Cheering,58
/m/04_sv,Motorcycle,57
/m/0_ksk,Power tool,76
/m/025td0t,Background music,59
/m/01v_m0,Sine wave,56
/m/073cg4,Cap gun,57
/m/0140xf,Christmas music,56
/m/07n_g,Tuning fork,58
/m/01b9nn,Reverberation,59
/m/0ytgt,"Child speech, kid speaking",188
/m/07pzfmf,Crackle,54
/m/0f8s22,Chime,57
/m/07qmpdm,Clatter,59
/m/07qn5dc,"Crowing, cock-a-doodle-doo",57
/m/02sgy,Electric guitar,119
/m/01rd7k,Turkey,60
/m/0192l,Bagpipes,59
/m/07rbp7_,Whip,55
/m/02_41,Fire,56
/m/0k5j,Aircraft,108
/m/07pjjrj,"Smash, crash",54
/m/07rknqz,Skidding,54
/t/dd00066,Medium engine (mid frequency),56
/m/05w3f,Psychedelic rock,54
/t/dd00037,Scary music,53
/m/07q7njn,"Chink, clink",54
/t/dd00134,Car passing by,57
/m/08cyft,Electronic dance music,78
/m/07gql,Trumpet,56
/m/07rgt08,"Chuckle, chortle",58
/m/07s8j8t,Roll,55
/m/02yds9,Purr,59
/m/03wvsk,Hair dryer,56
/m/07q5rw0,"Neigh, whinny",50
/m/07s12q4,Crunch,51
/m/018vs,Bass guitar,57
/m/0316dw,Typing,55
/m/02rhddq,Reversing beeps,53
/m/07qv_d5,Toot,56
/m/02v2lh,New-age music,58
/m/07bjf,Single-lens reflex camera,56
/m/02x984l,Mechanical fan,58
/m/06_fw,Skateboard,57
/m/07gxw,Techno,86
/m/09d5_,Owl,59
/m/09f96,Mosquito,54
/m/06mb1,Rain,95
/m/01s0ps,Electric piano,57
/m/07qyrcz,Plop,49
/m/01swy6,Yodeling,57
/m/01w250,Whistling,51
/m/02w4v,Folk music,52
/m/07s72n,Dubstep,87
/m/02zsn,"Female speech, woman speaking",65
/m/0j2kx,Waterfall,58
/m/07pp8cl,Telephone bell ringing,50
/m/01b_21,Cough,50
/m/07p6mqd,Slosh,53
/m/07ptfmf,Stir,60
/t/dd00077,Mechanisms,103
/m/0130jx,Sink (filling or washing),54
/m/02hnl,Drum kit,78
/m/016622,Tubular bells,57
/m/07qfr4h,"Hubbub, speech noise, speech babble",53
/m/07sbbz2,Rock and roll,84
/m/03r5q_,Jingle (music),55
/m/07qqyl4,Boom,57
/m/07hvw1,Field recording,58
/m/028ght,Applause,58
/m/02mk9,Engine,180
/m/01jt3m,Toilet flush,52
/m/07qlf79,Spray,60
/m/06by7,Rock music,86
/m/04zmvq,Train whistle,60
/m/0l15bq,Clapping,57
/m/04rmv,Mouse,57
/m/0fqfqc,Drawer open or close,57
/m/07rwj3x,Whoop,59
/m/0j6m2,Stream,55
/m/05148p4,Keyboard (musical),140
/m/0bt9lr,Dog,207
/g/122z_qxw,Firecracker,51
/m/02bk07,Chant,55
/m/01c194,Mantra,56
/m/02mfyn,Car alarm,53
/m/042v_gx,Acoustic guitar,89
/m/02lkt,Electronic music,57
/m/026fgl,Wind chime,54
/m/0l7xg,Gears,55
/m/0261r1,Babbling,58
/m/09xqv,Cricket,58
/m/07jdr,Train,167
/m/03v3yw,Keys jangling,56
/m/0dv3j,Boiling,58
/m/0463cq4,"Crying, sobbing",54
/m/011k_j,Timpani,57
/m/05tny_,Bark,56
/m/0326g,Flamenco,58
/m/0l14qv,Synthesizer,56
/m/0l14j_,Flute,51
/m/06xkwv,Mains hum,57
/m/0dv5r,Camera,56
/m/0l14gg,Soundtrack music,54
/m/06bz3,Radio,57
/m/0395lw,Bell,54
/m/07qw_06,"Wail, moan",47
/m/07pkxdp,Lullaby,53
/m/081rb,Writing,57
/m/07p_0gm,Throbbing,55
/t/dd00112,"Crumpling, crinkling",55
/m/0brhx,Speech synthesizer,55
/m/07qv_x_,Shuffle,59
/m/07s0s5r,Strum,59
/t/dd00130,Engine starting,57
/m/07plct2,Crushing,57
/m/01bjv,Bus,56
/m/0b9m1,Harmonic,54
/m/02cjck,Theme music,58
/m/03_d0,Jazz,57
/m/096m7z,Noise,58
/m/0llzx,Sewing machine,58
/m/0dgbq,Civil defense siren,57
/m/09t49,Rustling leaves,59
/t/dd00065,Light engine (high frequency),56
/t/dd00004,Female singing,55
/m/034srq,"Waves, surf",60
/m/07qcpgn,Tap,56
/m/026t6,Drum,187
/m/02fs_r,"Beep, bleep",55
/m/02c8p,"Telephone dialing, DTMF",52
/m/05r5wn,Rattle (instrument),53
/m/0ngt1,Thunder,59
/m/06bxc,Rapping,58
/m/01280g,Wild animals,47
/m/01yrx,Cat,105
/m/02mscn,Christian music,46
/m/04gxbd,"Power windows, electric windows",59
/t/dd00006,Synthetic singing,51
/m/0l14_3,Bowed string instrument,105
/m/07s02z0,Squeal,55
/m/06j64v,Middle Eastern music,50
/m/07p7b8y,Fill (with liquid),54
/m/025rv6n,Fowl,200
/m/0h0rv,"Pigeon, dove",57
/m/07r4wb8,Knock,49
/m/03l9g,Hammer,58
/m/02fxyj,Humming,51
/m/07qc9xj,Clicking,56
/m/05x_td,"Air horn, truck horn",53
/m/06q74,Ship,60
/m/07szfh9,Cacophony,55
/m/07rrh0c,Thunk,54
/m/07phhsh,Rumble,58
/m/07st89h,Cluck,51
/m/05kq4,Ocean,64
/m/05_wcq,"Bird flight, flapping wings",55
/m/09ld4,Frog,58
/m/01v1d8,Sampler,59
/m/07rv9rh,Clip-clop,58
/m/03j1ly,Emergency vehicle,126
/m/0hsrw,"Sailboat, sailing ship",58
/m/02z32qm,Fusillade,53
/m/0c3f7m,Fire alarm,56
/m/01y3hg,"Smoke detector, smoke alarm",57
/m/07qwf61,Honk,57
/m/0glt670,Hip hop music,57
/m/0dwsp,"Marimba, xylophone",62
/m/07qcx4z,Tearing,54
/m/01yg9g,Lawn mower,56
/m/07qb_dv,Scratch,56
/m/0gy1t2s,Bicycle bell,55
/m/04k94,Liquid,56
/m/06wzb,Steam,55
/m/07pl1bw,Splinter,58
/m/01jg02,"Heart sounds, heartbeat",62
/m/0d31p,Vacuum cleaner,55
